 下列不属于行政处分种类的是（ ）  分值2分|B.严重警告
 监察委员会依照《中华人民共和国监察法》和有关法律规定履行（ ）职责。  分值2分|D.监督；调查；处置
 被调查人既涉嫌严重职务违法或者职务犯罪，又涉嫌其他违法犯罪的，一般应当由（ ）为主调查，其他机关予以协助。  分值2分|C.监察机关
 监察机关应当严格按照程序开展工作，建立问题线索处置、调查、审理各部门相互（ ）、相互制约的工作机制。  分值2分|B.协调
 （ ）岗位是巡视组的协调枢纽和服务窗口，发挥承上启下、协调左右、联系内外的作用。  分值2分|C.内勤
 冻结的财产经查明与案件无关的，应当在查明后（ ）内解除冻结，予以退还。  分值2分|B.3日
 机关党员（ ）的，设立党的基层委员会。  分值2分|C.100人以上
 作风纪律后评估工作由（ ）组织实施，一般在现场巡视结束后进行，也可结合巡视工作调研督导开展。  分值2分|D.党委巡视机构党总支
 为了深化国家监察体制改革，加强对所有行使（ ）的监督，实现国家监察全覆盖。  分值2分|B.公权力公职人员
 监察委员会依照（ ）和有关法律规定履行相关职责。  分值2分|D.监察法
 国家监察工作严格遵照宪法和法律，以事实为根据，以法律为准绳；在适用法律上一律平等，保障当事人的合法权益（ ）。  分值2分|B.权责对等，严格监督；惩戒与教育相结合，宽严相济
 巡视组巡视对象执行（ ）和其他党内法规，遵守党的纪律，对落实全面从严治党主体责任和监督责任等情况进行监督。  分值2分|D.《党章》
 监察机关对于案件中的（ ）问题，可以采取鉴定措施。  分值2分|B.专门性
 习近平总书记多次强调，巡视是政治巡视，本质上是（ ）监督。  分值2分|C.政治
 巡视组巡视象执行（ ），遵守党的纪律，对落实全面从严治党主体责任和监督责任等情况进行监督。  分值2分|A.《中国共产党章程》┋B.其他党内法规
 巡视了解工作结束后，巡视组应当写出（ ）。  分值2分|A.巡视报告┋B.谈话情况报告┋C.问题线索报告┋D.将巡视情况向领导小组会议汇报
 巡视组联络员协助组领导做好内外沟通和上下协调，组织落实组内具体工作任务，工作中应当（ ）。  分值2分|A.严格程序┋B.把握政策┋C.讲究方法┋D.协作配合
 巡视组应当及时通过巡视办，将巡视发现的问题和线索进行移交。巡视组组长、副组长、联络员应当履行好审核把关职责，具体承办人应当严谨细致，确保移交工作（ ）。  分值2分|A.对象准确┋B.内容完整┋C.手续完备
 党委（党组）要坚持“（ ）”的巡视工作方针，坚守政治巡视定位，查找纠正政治偏差。  分值2分|A.发现问题┋B.形成震慑┋C.推动改革┋D.促进发展
 党支部要对要求入党的积极分子进行（ ），做好发展党员工作。  分值2分|A.教育┋B.培养
 巡视组应当严格按照党内法规规定的方式和权限，严格依规依纪开展巡视监督，依靠被巡视党组织开展工作，（ ）。  分值2分|B.不干预被巡视地区（单位）的正常工作┋C.不履行执纪审查职责
 《关于加强巡视巡察上下联动的意见》要求，上级巡视巡察机构应加强督促，推动巡视巡察干部牢固树立“（ ）”的观念。  分值2分|A.有重大问题应当发现而没有发现是失职┋B.发现问题没有如实报告是渎职
 巡视办工作的“（ ）”12字要求，这12字是新时代巡视办职能的高度概括。  分值2分|A.统筹协调┋B.指导督导┋C.服务保障
 巡视组应当加强与巡视办的沟通和协作，共同做好巡视（ ）等方面工作。  分值2分|A.进驻┋B.报告┋C.反馈┋D.移交┋E.人员管理
 联络员负责对巡视组人员教育、管理和监督，为借调人员提出工作鉴定意见；巡视组成员对遵守工作纪律、保密纪律和廉洁自律规定的情况进行监督。  分值2分|错
 确定立行立改事项应征求被巡视党组织主要负责人意见，若出现意见不一致等情况，应向自治区党委巡视办请示报告。  分值2分|错
 立行立改事项的具体处置应当充分尊重被巡视党组织意见，巡视组要提出具体办理时限要求，由被巡视党组织依规依纪依法进行处理。  分值2分|错
 各级巡视巡察机构要把法治建设摆在首位，把正在开展党史学习教育与巡视业务培训结合起来，加强巡视机构党建工作，在“两个维护”上作表率，带着感情、带着责任、带着敬畏开展巡视工作。  分值2分|错
 有关纪律检查机关、组织部门收到巡视移交的问题或者线索后，应当及时研究提出谈话函询、初核、立案或者组织处理等意见，并于1个月内将办理情况反馈巡视工作领导小组办公室。  分值2分|错
 《中国共产党巡视工作条例》规定，巡视进驻、反馈、整改等情况，应当以适当方式公开，接受党员、干部、人民群众、无党派人士监督。  分值2分|错
 巡视期间，因特殊情况需要临时借调人员的，党委巡视组可以通过有关渠道借调人员参加巡视工作。  分值2分|错
